Name,Latitude,Longitude,Local_type
Recinto Ferial Casa de Campo,40.408497,-3.744462,Others
Parque de Atenas,40.414194,-3.718713,Others
Parque de Valdebernardo,40.398065,-3.6069,Others
Parque Emperatriz María de Austria,40.377936,-3.721962,Others
Parque el Paraiso,40.430616,-3.621798,Others
Parque forestal de Valdebebas,40.494443,-3.617213,Others
Fuente de Apolo (Madrid),40.417102,-3.693909,Others
Parque de Santa María,40.47854,-3.647727,Others
Parque Juan Carlos I,40.243357,-3.696003,Others
Parque de la Bombilla,40.431408,-3.730096,Others
Dehesa de Navalcarbón,40.510202,-3.886376,Others
Jardín de la Vega,40.536119,-3.632074,Others
Parque Central,40.607803,-3.708941,Others
Parque de Pradolongo,40.375005,-3.707662,Others
Parque de Calero,40.437174,-3.651221,Others
Clinica Parque de las Avenidas,40.442575,-3.663412,Others
Parque Natural el Soto,40.326968,-3.898524,Others
Tres Cerditos,40.397256,-3.694159,Restaurants
Plenti,40.412146,-3.696457,Restaurants
La Cabaña Argentina,40.415712,-3.699011,Restaurants
Takos,40.418938,-3.703748,Restaurants
La Pescadería,40.422886,-3.703032,Restaurants
La Hummuseria,40.423439,-3.700042,Restaurants
Aarde,40.419701,-3.689125,Restaurants
Honest Greens Hortaleza,40.424816,-3.697854,Restaurants
Taberna Origen,40.426594,-3.716323,Restaurants
Konnichiwa,40.427891,-3.701765,Restaurants
El Paraguas,40.423744,-3.685827,Restaurants
Amazónico,40.423675,-3.68509,Restaurants
Zuma Madrid,40.426315,-3.689566,Restaurants
Ultramarinos Quintin,40.423929,-3.685366,Restaurants
Lamucca de Almagro,40.428375,-3.695205,Restaurants
La Castela,40.42027,-3.676574,Restaurants
Ten Con Ten,40.427815,-3.688551,Restaurants
Casa Dani,40.427112,-3.685708,Restaurants
Taberna Laredo,40.420182,-3.675157,Restaurants
Honest Greens Serrano,40.428724,-3.687555,Restaurants
Las Tortillas de Gabino,40.433857,-3.69389,Restaurants
Fratelli Figurato,40.438919,-3.697848,Restaurants
Cañadío Madrid,40.433338,-3.674813,Restaurants
Honest Greens Velázquez,40.43751,-3.683314,Restaurants
Casa Benigna,40.448152,-3.674383,Restaurants
Asador Donostiarra,40.461687,-3.69571,Restaurants
Urrechu,40.419462,-3.79698,Restaurants
Taberna Entretres,40.439919,-3.790221,Restaurants
Everest Tandoori,40.464214,-3.649527,Restaurants
A'Fenestella,40.468188,-3.638647,Restaurants
El Barco Aparicio,40.445919,-3.801874,Restaurants
Filandón,40.504818,-3.716831,Restaurants
Pirata's,40.338088,-3.813527,Restaurants
La General,40.470722,-3.580532,Restaurants
Jiménez Restaurante,40.473143,-3.837731,Restaurants
The Black co,40.284837,-3.789971,Restaurants
Panorama Oyster Bar,40.458993,-3.861228,Restaurants
El Ochenta,40.470903,-3.851016,Restaurants
Verde Oliva Gastroteca,40.468145,-3.871037,Restaurants
Flanker,40.494123,-3.880463,Restaurants
Pizzería tipica il gusto per l'autentico,40.237584,-3.768064,Restaurants
La Ricarda,40.303221,-3.904241,Restaurants
Shoopo HomeBar,40.59616,-3.705341,Restaurants
La Churrasquita,40.596136,-3.698596,Restaurants
Restaurante Patati´ss,40.23687,-3.764927,Restaurants
Cafetería Gran Vía,40.242623,-3.698601,Restaurants
Sabor y Sazón Venezolano,40.596727,-3.701416,Restaurants
100 Montaditos,40.2406,-3.690748,Restaurants
Casa Emeterio,40.597125,-3.702323,Restaurants
El templo de la cerveza,40.218728,-3.75749,Restaurants
