Name,Latitude,Longitude,Local_type
La Fabrica,48.827702,2.327708,Restaurants
Le Bistro du Périgord,48.849894,2.345194,Restaurants
La Maison d'Isabelle,48.849698,2.34843,Restaurants
Au Moulin à Vent,48.848594,2.354813,Restaurants
Breizh Café,48.85165,2.338775,Restaurants
L'Avant Comptoir du Marché,48.851787,2.335417,Restaurants
Aux Prés,48.852731,2.330484,Restaurants
Le Petit Lutetia,48.848349,2.320604,Restaurants
Coya Paris,48.854333,2.324315,Restaurants
Bong,48.842726,2.305759,Restaurants
Comptoir Gourmet,48.860077,2.354379,Restaurants
Caffe Dei Fratelli,48.864724,2.333194,Restaurants
Sanukiya,48.864693,2.333777,Restaurants
Mmmozza,48.863873,2.360638,Restaurants
Clamato,48.853568,2.380792,Restaurants
Septime,48.853515,2.380847,Restaurants
ISTR,48.867455,2.357563,Restaurants
Bar Vendôme,48.868025,2.328569,Restaurants
Boulangerie Utopie,48.865345,2.368758,Restaurants
Ober Mamma,48.864473,2.370121,Restaurants
Le Casse Noix,48.853416,2.295197,Restaurants
Holybelly 5,48.870978,2.359787,Restaurants
Du Pain et des Idées,48.871214,2.362942,Restaurants
Libertino by Big Mamma,48.875546,2.350081,Restaurants
Dinand par Ferdi,48.867066,2.302344,Restaurants
Le Sens Unique,48.871592,2.306377,Restaurants
Azur Cafe,48.872267,2.304204,Restaurants
L'Oiseau Blanc,48.871062,2.293405,Restaurants
Matsuhisa Paris,48.87561,2.300635,Restaurants
La Cantina Chic,48.877318,2.29573,Restaurants
Hardware Société,48.88688,2.344651,Restaurants
Le Ruisseau,48.894397,2.340518,Restaurants
Léon de Bruxelles,48.87572,2.477506,Restaurants
Rajpoot,48.80481,2.484733,Restaurants
Les Délices de Fred,48.835147,2.498372,Restaurants
Pizza Vivaldi,48.843409,2.503486,Restaurants
Pedra Alta Pedra Mar,48.751756,2.454071,Restaurants
Riad Salam,48.799634,2.521943,Restaurants
L'Etoile d'or,48.910726,2.512257,Restaurants
Chez Guo,48.848697,2.556632,Restaurants
Foggia Ristorante,48.693876,2.293314,Restaurants
Cristina Pizzeria,48.931551,2.538478,Restaurants
L'Asiane,48.885754,2.58595,Restaurants
A Pattaya,48.679433,2.34214,Restaurants
Papaye Verte,48.698271,2.187,Restaurants
Le Manège,48.895319,2.095327,Restaurants
Vivaldi,48.686703,2.341126,Restaurants
El Sol Azteca,48.895479,2.092666,Restaurants
Pedra Alta,48.777946,2.588472,Restaurants
Le Pavillon de Bailly,48.838454,2.086582,Restaurants
